Naam;URN;Waarde;IMBRO;IMBRO/A;Definitie
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"geen";"Ja";"Ja";"Er is geen materiaal gebruikt. Het gat is mogelijk vanzelf volgelopen met materiaal dat uit het gat of van het maaiveld afkomstig is."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"bentoniet";"Ja";"Ja";"Een suspensie van bentoniet."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"grind";"Ja";"Ja";"Grind dat gezeefd is en uit korrels bestaat met een grootte die tussen 2 en 6,3 mm ligt. "
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"grindZand";"Ja";"Ja";"Een mengsel van zand en grind dat gezeefd is en uit korrels bestaat met een grootte die tussen 63 µm en 6,3 mm ligt. "
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"grindZandGrof";"Ja";"Ja";"Een mengsel van zand en grind dat gezeefd is en uit korrels bestaat met een grootte die tussen 0,63 en 6,3 mm ligt. "
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"grindZandOngezeefd";"Ja";"Ja";"Een mengsel van zand en grind dat niet gezeefd is. Deze categorie omvat onder meer materiaal dat wordt aangeduid met termen als metselzand en ophoogzand. "
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"grout";"Ja";"Ja";"Een mengsel van cement en water zonder toeslag."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"groutBentoniet";"Ja";"Ja";"Een mengsel van cement en water met als toeslag bentoniet."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasse1";"Ja";"Ja";"Korrels die bestaan uit klei met een zwelvermogen van minimaal 80% in zout water (NaCl 10000 mg/l) en met een doorlatendheid die kleiner is dan 10-9 m/s. Aan dit materiaal is geen detecteerbare stof toegevoegd. Het materiaal is vergelijkbaar met Mikolit-B en wordt gebruikt onder omstandigheden die hoge eisen stellen aan het waterkerend vermogen."
"Aanvulmateriaal";"urn:bro:bhrgt:BackfillMaterial";"kleiZwelklasse1Detecteerbaar";"Ja";"Ja";"Korrels die bestaan uit klei met een zwelvermogen van minimaal 80% in zout water (NaCl 10000 mg/l) en met een doorlatendheid die kleiner is dan 10-9 m/s. Aan dit materiaal is een detecteerbare stof toegevoegd.Het materiaal is vergelijkbaar met Mikolit-B en wordt gebruikt onder omstandigheden die hoge eisen stellen aan het waterkerend vermogen."
